german-expat	abends	in the evening(s)	Ronja: Der Kater frisst morgens und abends, die Pflanzen zweimal die Woche.
german-expat	absage	rejection, refusal (die Absage)	Falls Sie nicht zuständig sind, hätte ich die Absage gern schriftlich.
german-expat	absagen	rejections (die Absage)	Nadia: Drei Ämter, drei Absagen, ein Kreis.
german-expat	ahnung	idea, clue (die Ahnung); no idea (Keine Ahnung)	Timo: Keine Ahnung.
german-expat	altbau	pre-war building: high ceilings, rarely an elevator (der Altbau)	Katja: Siebzig Quadratmeter, Altbau, zwei Straßen weiter, Miete aus einem anderen Jahrzehnt.
german-expat	amt	government office (das Amt)	Immerhin arbeitet die Katze schneller als jedes Amt.
german-expat	angekündigt	announced (ankündigen, participle)	Der Brief hat nur einen weiteren Brief angekündigt, und dann kam dieser Termin.
german-expat	ankunft	arrival (die Ankunft)	Timo: Das ist der gesündeste Satz seit deiner Ankunft.
german-expat	antrag	application, formal request	Ein Antrag auf Freizeit.
german-expat	antwort	answer, reply (die Antwort)	Eine Stunde später hängt Nadias Antwort im Treppenhaus: Hiermit werden sämtliche Vorwürfe zurückgewiesen.
german-expat	anzeige	display, indicator (die Anzeige)	Die Anzeige flackert.
german-expat	arbeitet	works (arbeiten)	Immerhin arbeitet die Katze schneller als jedes Amt.
german-expat	arzt	doctor	Mira: Und wenn ich einen Arzt brauche?
german-expat	auch	also, too	Jonas: Genau das hat die letzte Mitbewohnerin auch gesagt.
german-expat	außerdem	besides, in addition	(NO APARECE)
german-expat	bald	soon	Aber wir werden es bald schriftlich wissen.
german-expat	ball	ball	Nadia: Elf Seiten Regeln für einen Ball übers Netz.
german-expat	bedeutet	means (bedeuten)	(NO APARECE)
german-expat	beginnt	begins (beginnen)	Hausmeister Wollny empfängt Nadia mit Schlüsselbund und beginnt die Führung ausgerechnet im Treppenhaus.
german-expat	beide	both	Katja: Wir schwören beide auf Wärme.
german-expat	bekomme	get, receive (bekommen)	Ich bekomme nirgends einen Termin.
german-expat	bekommt	gets, receives (bekommen)	Den Schlüssel bekommt nicht jeder, glaub mir.
german-expat	berlin	Berlin	Dabei ist es in Berlin fast ein Heiratsantrag.
german-expat	beschwert	complains (sich beschweren)	Aber meistens ist es nur der Rücken, der sich beschwert.
german-expat	beste	best (gut)	Drittens: Der Rest ist das Beste, was dieses Team seit Jahren abgeliefert hat.
german-expat	bevor	before	Timo: Entscheidend ist nur, die Wartemarke zu ziehen, bevor die Tafel deine Uhrzeit überspringt.
german-expat	beweis	proof, evidence (der Beweis)	Brandt: Sind der Beweis, dass ich den dritten ernst meine.
german-expat	bewerber	applicants (der Bewerber)	Elf Bewerber warten mit identischen Mappen, und Nadia umklammert ihre eigene wie ein Konzertticket.
german-expat	bietet	offers (bieten)	Wer einmal dort sitzt, gehört dazu; und irgendwann bietet dir dort sogar der Förmlichste das Du an.
german-expat	bin	am (sein)	Ronja: Ich bin zwei Wochen weg.
german-expat	blau	blue	Der Morgen ist noch blau.
german-expat	bleiben	to stay, remain	Wer bleiben will, braucht ihren Segen.
german-expat	bleibt	stays, remains (bleiben)	Ihr Handy bleibt still.
german-expat	brauche	need (brauchen)	Ich brauche bis elf Ihre Unterschrift, sonst platzt mein Termin beim Bürgeramt.
german-expat	braucht	needs (brauchen)	Wer bleiben will, braucht ihren Segen.
german-expat	bricht	breaks (brechen)	Wer es bricht, dem vertraut man auch die Planung nicht.
german-expat	brief	letter (der Brief)	Ein Brief kündigt Briefe an.
german-expat	briefe	letters (der Brief)	Ein Brief kündigt Briefe an.
german-expat	bringt	brings (bringen)	Zwei Wochen später gedeihen alle Pflanzen, und Ronja bringt aus dem Urlaub etwas mit.
german-expat	dachte	thought (denken)	Lindner: Und ich dachte, hier draußen findet mich keiner.
german-expat	dahin	until then (bis dahin)	Bis dahin spielen Sie auf Probe.
german-expat	danach	afterwards, after that	Danach müssen Sie sich entscheiden.
german-expat	dann	then	Katja: Dann verschweigst du es und kaufst heimlich eine neue.
german-expat	darf	may, is allowed to (dürfen)	Darüber, ob ich Tischtennis spielen darf?
german-expat	darüber	about it, over it	Darüber, ob ich Tischtennis spielen darf?
german-expat	dass	that (conjunction)	Timo: Die schriftliche Bestätigung deines Vermieters, dass du bei ihm wohnst.
german-expat	dasselbe	the same (neuter)	Eine Stunde Wartezeit, ein neuer Schalter, dasselbe Lächeln.
german-expat	dauert	takes, lasts (dauern)	Es dauert nur.
german-expat	deine	your	Nächstes Mal du zuerst; dann gieße ich deine.
german-expat	deinem	your (dative, dein)	Nadia: Vor einem Jahr stand ich genau hier, mit deinem Blick.
german-expat	deinen	your (accusative)	Nadia: Du gibst mir deinen Schlüssel?
german-expat	deiner	your (dative)	Timo: Das ist der gesündeste Satz seit deiner Ankunft.
german-expat	dem	the (dative)	Auf dem Sofa thront eine graue Katze und mustert die Bewerber einzeln.
german-expat	demselben	the same (derselbe, dative)	Vor Katjas Späti stehen drei Menschen mit demselben verlorenen Blick.
german-expat	denkt	thinks (denken)	Nadia denkt an Timo, Katja, Ronja und einen Kater, der ihr vertraut.
german-expat	der	the; who, which	Ronja: Der Kater frisst morgens und abends, die Pflanzen zweimal die Woche.
german-expat	derselbe	the same one	Drei Praxen später ist der Satz derselbe.
german-expat	derweil	meanwhile	Nadia klingelt zum dritten Mal, Timo studiert derweil die Klingelschilder nach dem Verbleib eines Vermieters.
german-expat	deshalb	that is why, therefore	Paul: Deshalb schwitzen wir alle vor der ersten Mail.
german-expat	deutschland	Germany	Timo nickt und sagt den Satz, der in Deutschland alles einleitet.
german-expat	dich	you (accusative)	Ohne die schicken sie dich wieder nach Hause: freundlich, aber gnadenlos.
german-expat	die	the; who, which	Wichtig ist da drin nur eine Person, und die hat vier Pfoten.
german-expat	diese	this, these	Du stehst hier sicher nicht zum Vergnügen um diese Uhrzeit.
german-expat	diesem	this (dative)	Und das Verrückteste daran: Ich finde es fairer als alles andere auf diesem Markt.
german-expat	draußen	outside	Lindner: Und ich dachte, hier draußen findet mich keiner.
german-expat	drei	three	Drei Tage Wartezeit für vierzehn Quadratmeter.
german-expat	dreimal	three times	Nadia liest den Zettel dreimal.
german-expat	drin	inside (colloquial for darin)	Wichtig ist da drin nur eine Person, und die hat vier Pfoten.
german-expat	dritte	third; the third one (die Dritte)	Sie sind die Dritte diesen Monat; die Formulare habe ich auf Vorrat.
german-expat	drückt	presses, pushes (drücken)	Ronja drückt Nadia einen Wohnungsschlüssel in die Hand, als wäre es nichts.
german-expat	dunkel	dark	Das grüne Kreuz über der Apotheke ist dunkel.
german-expat	dunkle	dark (dunkel)	Um halb sieben ist das Stockwerk ein Museum: leere Stühle, dunkle Bildschirme, nur Nadias Lampe brennt.
german-expat	durch	through	Vor der Bürotür atmet Nadia zweimal durch.
german-expat	duzen	to use informal du with someone	Duzen auf eigene Gefahr.
german-expat	eher	sooner, rather; sooner X than Y (eher X als Y)	Hier kriegst du eher Karten für ein ausverkauftes Konzert als einen Termin beim Bürgeramt.
german-expat	eigene	own (eigen)	Elf Bewerber warten mit identischen Mappen, und Nadia umklammert ihre eigene wie ein Konzertticket.
german-expat	eines	of a	Hinter ihr wartet Timo mit dem gelassenen Blick eines Menschen, der das schon durchgestanden hat.
german-expat	eins	one	Er hält einen Umschlag hoch, Beweisstück Nummer eins.
german-expat	einzige	the only one (einzig)	Die einzige Behörde, bei der schon die Ankündigung ernst ist.
german-expat	empfängt	receives, welcomes (empfangen)	Hausmeister Wollny empfängt Nadia mit Schlüsselbund und beginnt die Führung ausgerechnet im Treppenhaus.
german-expat	endgültig	finally, once and for all	Am Abend, beim Griff nach der Wasserkiste, gibt der Rücken endgültig nach.
german-expat	endlich	finally, at last	Ich will endlich sehen, wer hier laminiert.
german-expat	entscheiden	to decide, make up your mind	Danach müssen Sie sich entscheiden.
german-expat	entscheidend	decisive, crucial	Timo: Entscheidend ist nur, die Wartemarke zu ziehen, bevor die Tafel deine Uhrzeit überspringt.
german-expat	entscheidet	decides (entscheiden)	Nadia: Jetzt entscheidet also eine Katze über meinen Mietvertrag.
german-expat	entscheidung	decision (die Entscheidung)	Nadia: Und wie fällt die Entscheidung?
german-expat	entschuldigung	apology; excuse me (die Entschuldigung)	Mira: Entschuldigung, sprechen Sie Deutsch?
german-expat	entweder	either	Entweder du kämpfst um den Termin, oder du wartest.
german-expat	er	he	Er verschwindet wortlos in der Laube und kehrt mit einem abgegriffenen Ordner zurück.
german-expat	erklärt	explains (erklären)	Am Späti erklärt Katja die Rangordnung, ganz amtlich.
german-expat	ernst	serious (der Ernst); seriously? (Dein Ernst?)	Die einzige Behörde, bei der schon die Ankündigung ernst ist.
german-expat	es	it	Und das Verrückteste daran: Ich finde es fairer als alles andere auf diesem Markt.
german-expat	esse	eat (essen, ich form)	(NO APARECE)
german-expat	ewig	forever, endlessly	Außen hart, und man kommt ewig nicht durch.
german-expat	fast	almost, nearly	Dabei ist es in Berlin fast ein Heiratsantrag.
german-expat	fehler	mistake (der Fehler)	Bis jetzt hat sie noch jeden Fehler gerochen.
german-expat	fehlt	is missing (fehlen)	Fehlt eigentlich nur noch ein Führungszeugnis.
german-expat	feierlich	solemnly, ceremoniously	(NO APARECE)
german-expat	fertig	finished, done, ready	Ich will die Präsentation noch fertig machen; in meiner alten Firma war das normal so.
german-expat	finde	find, think (finden)	Und das Verrückteste daran: Ich finde es fairer als alles andere auf diesem Markt.
german-expat	finden	to find	Nadia braucht eine Sekunde, um die Beförderung hinter der Kritik zu finden.
german-expat	findet	finds (finden)	Lindner: Und ich dachte, hier draußen findet mich keiner.
german-expat	flasche	bottle (die Flasche)	Nadia stellt ihre Flasche ab, ganz langsam.
german-expat	flur	corridor, hallway (der Flur)	Der Flur der Ausländerbehörde riecht nach Automatenkaffee und Weltgeschichte.
german-expat	folie	presentation slide (die Folie)	Brandt: Erstens: Folie vier ist überflüssig.
german-expat	freue	I am glad (ich freue mich, from sich freuen)	Ich freue mich sehr, du...
german-expat	friedlich	peaceful	Wer sich einliest, lebt hier friedlich.
german-expat	füllt	fills (füllen)	Nadia reibt die Salbe ein und füllt die Wärmflasche; beide raten dasselbe.
german-expat	fünf	five	Timo: Entspann dich, die fährt alle fünf Minuten.
german-expat	für	for	Timo: Elf Mappen für ein Zimmer.
german-expat	gedacht	thought (denken)	(NO APARECE)
german-expat	geh	go! (gehen)	Geh zum Orthopäden.
german-expat	gehst	go (gehen)	Timo: Oder du gehst über den Hausarzt.
german-expat	gemeint	meant (meinen)	Timo: Nicht bös gemeint.
german-expat	gesagt	said (sagen)	Jonas: Genau das hat die letzte Mitbewohnerin auch gesagt.
german-expat	gespräch	conversation, talk (das Gespräch)	Nadia: ...dass SIE sich Zeit für das Gespräch nehmen.
german-expat	gewinnt	wins (gewinnen)	Zahl es einfach; diesen Kampf gewinnt keiner.
german-expat	gießt	waters, pours (gießen)	Gießt du meine Pflanzen?
german-expat	gilt	is considered as (gilt als, from gelten)	Hier gilt: Wer ehrlich kritisiert, meint es ernst mit Ihnen.
german-expat	glaub	believe (glauben)	Den Schlüssel bekommt nicht jeder, glaub mir.
german-expat	gleichzeitig	simultaneously, at the same time	Die Titelmelodie, und acht Menschen verstummen gleichzeitig.
german-expat	griff	grip, reach	Am Abend, beim Griff nach der Wasserkiste, gibt der Rücken endgültig nach.
german-expat	grinst	grins (grinsen)	Timo grinst in seinen Kaffee.
german-expat	grüßen	greetings (der Gruß, dative); to greet	Mit freundlichen Grüßen, das Treppenhaus.
german-expat	gute	good (gut, declined)	Mira: Gute Besserung wünscht mir hier sonst keiner.
german-expat	guten	good (gut, declined)	Formulare gehören in dieser Stadt zu jeder guten Nachricht.
german-expat	gäste	guests (der Gast)	Gäste sind nach Anmeldung herzlich willkommen.
german-expat	habe	have (haben)	Nadia: Ich habe Gehaltsnachweise, Schufa und ein Empfehlungsschreiben von meiner künftigen Chefin dabei.
german-expat	haben	to have	Wann haben die wieder auf?
german-expat	haken	the catch, hidden downside (der Haken)	Der Haken hängt im Keller; mehr verrate ich nicht.
german-expat	halbe	half	Nadia: Gewöhn dich dran; Geduld ist hier die halbe Miete.
german-expat	hart	hard, tough	Außen hart, und man kommt ewig nicht durch.
german-expat	hat	has (haben)	Wichtig ist da drin nur eine Person, und die hat vier Pfoten.
german-expat	hause	home (nach Hause, from ward)	Nadia geht nach Hause, den Schlüssel in der Tasche.
german-expat	heilig	holy, sacred	(NO APARECE)
german-expat	herkomme	where I come from (wo ich herkomme, from herkommen)	Wo ich herkomme, sind sie Loyalität.
german-expat	herr	Mr. (der Herr)	Neun Uhr zwölf, und Herr Lindner bleibt spurlos verschwunden.
german-expat	heute	today	Heute, 11:20 Uhr.
german-expat	hier	here	Nadia versteht allmählich, warum hier alle eine Thermoskanne dabeihaben.
german-expat	hinter	behind	Hinter ihr wartet Timo mit dem gelassenen Blick eines Menschen, der das schon durchgestanden hat.
german-expat	hälfte	half	Nadia: Die Hälfte der Felder kannst du frei lassen.
german-expat	hängt	hangs (hängen)	Neumann: Ihr Aufenthaltstitel hängt an Ihrer Tätigkeit.
