a esta hora	spain/a2
a gritos	latam/b1
a la hora de nadie	spain/a1
a la izquierda	spain/a2
a la primera	spain/b1
a la vez	spain/a2
a la vista	spain/a1
a las nueve	spain/a1
a las ocho	spain/b1
a las once	spain/a1
a mano	latam/a1
a media mañana	spain/b1
a medio girar	spain/b1
a oscuras	spain/b1
a por	spain/a1
a solas	spain/a2
a tiempo	latam/a1
a veces	latam/a0
a ver	spain/a1
a ver si	spain/b1
abajo	latam/b1
abanico	latam/a1
abierta	spain/b1
abierto	latam/a1
abrazo	mexico/a0
abre	spain/a1
abrigo	latam/a1
abril	spain/b1
abrir	mexico/a0
abrirse	spain/a1
abuela	latam/a0
abuelo	mexico/a0
aburrido	spain/a2
acabar	spain/b1
acabarse	spain/b1
aceite	spain/a1
aceitunas	spain/a1
acelerar	latam/a2
aceptar	spain/b1
acequia	latam/b1
acera	latam/a1
acercar	mexico/a0
acercarse	spain/b1
aclarar	spain/b1
acomodar	spain/a2
aconsejar	spain/b1
acordarse	spain/b1
acostumbrarse	spain/a2
acta	spain/b1
acuerdo	spain/b1
adelantarse	latam/b1
admitir	spain/b1
adornar	spain/b1
advertir	spain/b1
aeropuerto	latam/a2
afirmar	spain/b1
aflojar	spain/b1
agacharse	spain/a2
agarrar	spain/a2
agenda	latam/a2
agendar	spain/b1
agitar	spain/a2
agosto	spain/b1
agotado	latam/b1
agradecer	mexico/a0
agregar	latam/b1
agua	mexico/a0
aguantar	spain/a1
aguapanela	latam/b1
aguardar	spain/a2
aguja	latam/b1
ahora	latam/a0
ahora bien	spain/b1
ahorrar	latam/a1
ahorrarse	spain/b1
ahorro	spain/b1
aire	latam/b1
ajeno	spain/a2
ajo	spain/a1
ajustar	spain/a2
al día siguiente	spain/a2
al fin	latam/a1
al final	spain/b1
al fondo	spain/a1
al fuego	spain/a2
al lado	spain/b1
al lado de	spain/a1
al otro lado	spain/b1
al pasar	spain/a1
al revés	spain/a1
al tragar	spain/a1
alacena	latam/b1
alambre	latam/b1
albañil	spain/b1
alcanzar	latam/a1
alegrar	spain/a2
alegre	mexico/a0
alejarse	latam/a2
alertar	spain/b1
alfombra	spain/b1
alfombrilla	spain/a2
alga	latam/b1
algo de alguien	spain/a1
algo de picar	spain/a1
algo más	spain/a1
alguien	latam/a0
algunas	latam/a0
algún	latam/a0
aliento	spain/a2
aliso	latam/b1
alivio	latam/b1
aljibe	spain/a2
almacén	spain/a1
almohada	latam/a1
almuerzo	latam/b1
alojamiento	latam/a2
alquilar	spain/a2
alquiler	latam/a1
alrededor	latam/a1
altavoz	latam/a1
alto	latam/a1
alzar	spain/a2
amable	mexico/a0
amanecer	latam/b1
amargo	spain/a2
amarillas	latam/a0
amarrar	latam/b1
amasar	latam/b1
amiga	latam/a0
amigo	latam/a0
amigos	latam/a0
amistad	spain/a2
amontonar	latam/b1
