historia	titulo	antes	despues
t1#0	Une boule sous le platane	Ils jouent à la pétanque le dimanche.	Ils jouent à la pétanque chaque dimanche.
t1#0	Une boule sous le platane	Sa boule roule tout près.	Sa boule roule lentement, tout près.
t1#0	Une boule sous le platane	“Très près. C'est bien”, dit Hugo.	“Très près. Génial!”, dit Hugo.
t1#0	Une boule sous le platane	“Oui. Je suis désolé.”	“C'est ça. Je suis désolé.”
t1#1	Deux carreaux pour Hugo	Léa apporte deux tasses de café.	Léa apporte deux tasses de café noir.
t1#1	Deux carreaux pour Hugo	“C'est facile. Regarde, comme ça.”	“C'est facile. Tu tiens la boule comme ça.”
t1#1	Deux carreaux pour Hugo	“D'accord, je paie.	“Pas grave, je paie.
t1#1	Deux carreaux pour Hugo	Mais elle prend une boule et tire.	Mais elle prend une boule. Elle veut essayer.
t1#2	Si je gagne, tu restes	Elle les nettoie avec un chiffon.	Elle les nettoie avec un chiffon propre.
t1#2	Si je gagne, tu restes	“D'accord”, dit Hugo.	“Avec plaisir”, dit Hugo.
t1#2	Si je gagne, tu restes	“Tu pars en mars. C'est tout”	“Tu pars en mars. C'est ça”
t2#0	Théo écoute pour Léa	Il est à Paris, loin d'ici.	Il est à Paris, ailleurs.
t2#0	Théo écoute pour Léa	“Ce n'est pas facile ici.	“C'est difficile ici.
t2#0	Théo écoute pour Léa	Léa retourne le portable et sert les cafés.	Léa cache le portable et sert les cafés.
t2#0	Théo écoute pour Léa	Léa comprend. “Merci	Léa comprend le sens. “Merci
t2#1	La ligne coupe après Hugo	Léa ferme les yeux.	Léa ferme les yeux et retient ses larmes.
t2#1	La ligne coupe après Hugo	“Paris, c'est bien.	“Paris, c'est génial.
t2#2	Le torchon à la main	L'eau est chaude.	L'eau est tiède.
t2#2	Le torchon à la main	Il casse des tasses”	Il est gentil”
t3#0	Le fauteuil descend	“Je peux aider”, dit Chloé.	“Je peux aider. Je suis libre”, dit Chloé.
t3#0	Le fauteuil descend	Hugo part en mars.	Hugo déménage en mars.
t3#0	Le fauteuil descend	Léa est dans le fauteuil.	Léa est dans le gros fauteuil.
t3#0	Le fauteuil descend	Elles portent le fauteuil ensemble.	Elles portent le fauteuil lentement, ensemble.
t3#1	Mille euros sans compter	Hugo prend un stylo.	Hugo prend un stylo noir.
t3#1	Mille euros sans compter	Léa retourne au comptoir.	Léa retourne au comptoir, occupée.
t3#2	Une goutte chaque nuit	“Mais je commence à comprendre.”	“Mais je commence à voir.”
t4#0	Tu prends la carte?	avec un grand sac	avec un gros sac
t4#1	Vingt minutes, c'est long	Le matin, le quai du métro est plein.	Le matin, le quai du métro est plein et étroit.
t4#1	Vingt minutes, c'est long	Hugo ne comprend pas.	Hugo ne comprend pas le sens.
t4#1	Vingt minutes, c'est long	Dehors, on entend le bateau du port.	Dehors, on entend le gros bateau du port.
t4#2	Les mots à l'envers	Il a raison.	Il a raison: c'est difficile.
t5#0	La boule porte-bonheur	Louise fait un nœud rouge.	Louise fait un gros nœud rouge.
t5#0	La boule porte-bonheur	Puis elle la donne.	Puis elle la donne, lentement.
t5#2	À toi la boule	Enfin, Hugo ouvre le paquet.	Enfin, Hugo ouvre le paquet, surpris.
t5#2	À toi la boule	Un chat dort sur le banc.	Un gros chat dort sur le banc.
t6#0	L'annonce du couloir	Le couloir est froid.	Le couloir est froid et étroit.
t6#1	Une plante pour Léa	Mais elle prend l'arrosoir.	Mais elle prend l'arrosoir, lourd.
t6#1	Une plante pour Léa	“Pourquoi moi?”, demande Léa.	“Pourquoi moi? Je suis occupée!”, demande Léa.
t6#2	Des pas au-dessus	Léa monte l'écharpe.	Léa monte l'écharpe, lentement.
t7#0	À samedi, Hugo	Puis il monte dans la voiture.	Il monte dans la voiture.
t7#0	À samedi, Hugo	Hugo lui donne un mouchoir.	Hugo lui donne un mouchoir blanc.
t7#1	Clara tient la boule	Clara descend avec son chien.	Clara descend avec son gros chien.
t7#1	Clara tient la boule	Clara lance. Sa boule roule	Clara veut tirer. Sa boule roule
t7#1	Clara tient la boule	“Oui. Chaque fois, il gagne.”	“Oui. Chaque fois, il est le gagnant.”
t7#2	Treize, comme avant	On parie le café?”	Tu paies le café?”
t7#2	Treize, comme avant	Personne ne joue exprès.	Personne ne perd exprès.
