historia	titulo	antes	despues
t1#0	Une boule sous le platane	Ils jouent à la pétanque le dimanche.	Ils jouent à la pétanque chaque dimanche.
t1#0	Une boule sous le platane	“Très près. C'est bien”, dit Hugo.	“Très près. Génial!”, dit Hugo.
t1#0	Une boule sous le platane	Hugo lance le cochonnet.	Hugo lance le cochonnet, vite.
t1#1	Deux carreaux pour Hugo	“C'est facile. Regarde, comme ça.”	“C'est facile. Tu tiens la boule comme ça.”
t1#1	Deux carreaux pour Hugo	“D'accord, je paie.	“Pas grave, je paie.
t1#1	Deux carreaux pour Hugo	Mais elle prend une boule et tire.	Mais elle prend une boule. Elle veut essayer.
t1#1	Deux carreaux pour Hugo	Il tire encore: carreau.	Encore: carreau.
t1#2	Si je gagne, tu restes	“D'accord”, dit Hugo.	“Avec plaisir”, dit Hugo.
t1#2	Si je gagne, tu restes	“Non. Je range”	“Non. Je balaie”
t2#0	Théo écoute pour Léa	“Ce n'est pas facile ici.	“C'est difficile ici.
t2#1	La ligne coupe après Hugo	Léa ferme les yeux.	Léa ferme les yeux et retient ses larmes.
t2#1	La ligne coupe après Hugo	“Paris, c'est bien.	“Paris, c'est génial.
t2#2	Le torchon à la main	L'eau est chaude.	L'eau est tiède.
t2#2	Le torchon à la main	“Bon. Bonne nuit, Léa.”	“Bon. Au revoir, Léa.”
t2#2	Le torchon à la main	Il monte là-haut, chez lui.	Il monte là-haut, à la maison.
t2#2	Le torchon à la main	“À toi, Hugo. Tu racontes?”, demande Léa.	“À toi, Hugo. Tu racontes?”, dit Léa.
t2#2	Le torchon à la main	“Oui. J'écoute.”	“J'écoute.”
t3#0	Le fauteuil descend	“Je peux aider”, dit Chloé.	“Je peux aider. Je suis libre”, dit Chloé.
t3#0	Le fauteuil descend	Hugo part en mars.	Hugo déménage en mars.
t3#0	Le fauteuil descend	Elles portent le fauteuil ensemble.	Elles portent le fauteuil lentement, ensemble.
t3#0	Le fauteuil descend	Il donne le fauteuil à Léa.	Il veut offrir le fauteuil à Léa.
t3#0	Le fauteuil descend	“Oui. Je ne suis jamais fatiguée”, répond Léa.	“Oui. Je ne suis jamais fatiguée”, rit Léa.
t3#1	Mille euros sans compter	Puis il dit:	Ensuite, il dit:
t3#2	Une goutte chaque nuit	“Mais je commence à comprendre.”	“Mais je commence à voir.”
t3#2	Une goutte chaque nuit	“Attention! Il y a de l'eau partout!”, crie Léa.	“Attention! Il y a de l'eau partout!”, rit Léa.
t4#1	Vingt minutes, c'est long	Le matin, le quai du métro est plein.	Le matin, le quai du métro est plein et étroit.
t4#2	Les mots à l'envers	Il a raison.	Il a raison: c'est difficile.
t4#2	Les mots à l'envers	Dehors, la lune est douce.	Léa rêve. Dehors, la lune est douce.
t5#0	La boule porte-bonheur	Puis elle la donne.	Ensuite, elle la donne.
t5#1	Trente-trois bougies	Léa applaudit très fort	Léa applaudit vraiment fort
t5#2	À toi la boule	Enfin, Hugo ouvre le paquet.	Enfin, Hugo ouvre le paquet, surpris.
t5#2	À toi la boule	Un chat dort sur le banc.	Un gros chat dort sur le banc, sous les feuilles.
t5#2	À toi la boule	Puis il rentre chez lui.	À la fin, il rentre chez lui.
t6#0	L'annonce du couloir	Léa n'aime pas ça, mais elle ne dit rien.	Léa n'aime pas ça. Elle sait, mais elle ne dit rien.
t6#0	L'annonce du couloir	L'annonce est sur la boîte aux lettres.	Léa lit l'annonce sur la boîte aux lettres.
t6#0	L'annonce du couloir	Léa touche la poignée	Léa touche doucement la poignée
t6#0	L'annonce du couloir	cent euros de plus”, explique Antoine.	cent euros de plus. C'est cher”, explique Antoine.
t6#1	Une plante pour Léa	“Pourquoi moi?”, demande Léa.	“Pourquoi moi? Je suis occupée!”, demande Léa.
t6#1	Une plante pour Léa	“Mais ce n'est plus chez toi.”	“Mais ce n'est plus comme avant.”
t6#1	Une plante pour Léa	Au plafond, il y a une vieille ampoule.	Au plafond, Hugo allume une vieille ampoule.
t6#1	Une plante pour Léa	Il n'y a plus de meubles.	L'appartement est vide, sans meubles.
t6#1	Une plante pour Léa	“C'est joli”, répond Léa.	“C'est joli. J'aime beaucoup”, répond Léa.
t6#2	Des pas au-dessus	“C'est une femme sympa”, explique Antoine.	“C'est une femme sympa. Elle veut louer”, explique Antoine.
t7#0	À samedi, Hugo	Puis il monte dans la voiture.	Il monte dans la voiture.
t7#0	À samedi, Hugo	Clara est une nouvelle voisine	Clara est une nouvelle locataire
t7#0	À samedi, Hugo	“Tu gardes la plante?”	“Tu arroses la plante?”
t7#1	Clara tient la boule	Clara lance. Sa boule roule	Clara veut tirer. Sa boule roule
t7#1	Clara tient la boule	Clara boit à la gourde.	Clara boit encore un peu à la gourde.
t7#1	Clara tient la boule	Clara a une casquette et des lunettes.	Clara a une casquette verte et des lunettes.
t7#1	Clara tient la boule	Sa boule roule, et elle rate le cochonnet.	Sa boule roule loin, et elle rate le cochonnet.
t7#1	Clara tient la boule	Puis elle ne dit rien.	Ensuite, elle ne dit rien.
t7#2	Treize, comme avant	On parie le café?”	Tu paies le café?”
t7#2	Treize, comme avant	Personne ne joue exprès.	Personne ne perd exprès.
t7#2	Treize, comme avant	Hugo arrive en TGV.	Hugo arrive en TGV, heureux.
t7#2	Treize, comme avant	Il dort sur le canapé du café.	Il dort sur le long canapé du café.
