historia	titulo	antes	despues	tipo
t2#1	La ligne coupe après Hugo	demander (demandes)	demander (demande)	superficie
t1#0	Une boule sous le platane	partir (pars)	partir (part)	superficie
t1#1	Deux carreaux pour Hugo	payer (paies)	payer (paie)	superficie
t1#1	Deux carreaux pour Hugo	tirer (tirer)	tirer (tire)	superficie
t3#1	Mille euros sans compter	avoir besoin (a besoin)	avoir besoin (besoin)	superficie
t3#2	Une goutte chaque nuit	avoir raison (as raison)	avoir raison (raison)	superficie
t3#0	Le fauteuil descend	merci beaucoup (Merci beaucoup)	merci (Merci)	plaza nueva
t3#0	Le fauteuil descend	large (large)	en bas (en bas)	plaza nueva
t6#0	L'annonce du couloir	à louer (À louer)	rien (rien)	plaza nueva
t5#1	Trente-trois bougies	gai (gai)	vieux (vieux)	plaza nueva
t4#1	Vingt minutes, c'est long	lent (lent)	poser (pose)	plaza nueva
t6#2	Des pas au-dessus	ailleurs (ailleurs)	ici (ici)	plaza nueva
t2#0	Théo écoute pour Léa	l'oreille (oreilles)	quoi (quoi)	plaza nueva
t4#0	Tu prends la carte?	c'est ça (C'est ça)	l'ami (ami)	plaza nueva
t7#2	Treize, comme avant	manger (mange)	sentir (sent)	plaza nueva
t7#2	Treize, comme avant	la prochaine fois (La prochaine fois)	faire (fait)	plaza nueva
t1#1	Deux carreaux pour Hugo	l'après-midi (après-midi)	aller (va)	plaza nueva
t2#1	La ligne coupe après Hugo	deux fois (deux fois)	deux (deux)	plaza nueva
t7#1	Clara tient la boule	trouver (trouve)	pouvoir (peux)	plaza nueva
t7#0	À samedi, Hugo	pouvoir (peut)	nouveau (nouvelle)	plaza nueva
t2#0	Théo écoute pour Léa	nouveau (nouveau)	s'appeler (s'appelle)	plaza nueva
